Customer_ID,Join_Date,Plan_Type,MRR,Support_Tickets_Per_Month,Feature_Usage_Score,Tenure_Months,Churned
CUST-1090,2024-08-21,Startup (Monthly),5000,1,77.7,12,1
CUST-1091,2024-06-24,Enterprise (Annual),25000,3,85.6,18,0
CUST-1092,2025-05-17,Enterprise (Annual),25000,1,78.8,7,0
CUST-1093,2024-10-18,Startup (Monthly),5000,1,100.0,14,0
CUST-1094,2024-09-23,Enterprise (Annual),25000,2,89.9,6,1
CUST-1095,2023-04-18,Enterprise (Annual),25000,2,56.5,32,0
CUST-1096,2023-07-11,Enterprise (Annual),25000,4,67.8,30,0
CUST-1097,2023-03-24,Startup (Monthly),5000,1,46.5,1,1
CUST-1098,2024-02-17,Startup (Monthly),5000,2,24.9,7,1
CUST-1099,2024-12-06,Startup (Monthly),5000,3,99.2,4,1
CUST-1100,2024-06-11,Enterprise (Annual),25000,1,75.6,10,1
CUST-1101,2024-08-14,Startup (Monthly),5000,3,55.6,2,1
CUST-1102,2024-05-20,Startup (Monthly),5000,2,49.9,19,1
CUST-1103,2023-09-27,Enterprise (Annual),25000,1,73.4,27,0
CUST-1104,2025-11-08,Startup (Monthly),5000,1,38.1,1,0
CUST-1105,2023-02-20,Startup (Monthly),5000,3,66.7,34,0
CUST-1106,2025-01-14,Enterprise (Annual),25000,2,97.8,11,0
CUST-1107,2024-09-23,Startup (Monthly),5000,1,36.2,6,1
CUST-1108,2023-07-24,Startup (Monthly),5000,1,50.5,2,1
CUST-1109,2023-11-21,Startup (Monthly),5000,2,31.8,2,1
CUST-1110,2024-06-21,Enterprise (Annual),25000,1,37.1,18,0
CUST-1111,2025-12-08,Startup (Monthly),5000,1,42.2,1,0
CUST-1112,2024-05-31,Enterprise (Annual),25000,3,51.7,19,0
CUST-1113,2023-04-01,Enterprise (Annual),25000,1,80.8,33,0
CUST-1114,2024-05-12,Startup (Monthly),5000,4,65.9,9,1
CUST-1115,2025-11-27,Enterprise (Annual),25000,2,87.3,1,0
CUST-1116,2023-10-04,Startup (Monthly),5000,1,52.3,3,1
CUST-1117,2024-03-01,Startup (Monthly),5000,4,62.1,3,1
CUST-1118,2024-01-16,Enterprise (Annual),25000,1,29.1,2,1
CUST-1119,2024-02-11,Startup (Monthly),5000,2,68.8,23,0
CUST-1120,2023-08-25,Startup (Monthly),5000,1,72.2,2,1
CUST-1121,2024-03-04,Enterprise (Annual),25000,4,32.9,22,0
CUST-1122,2024-09-17,Startup (Monthly),5000,3,46.3,13,1
CUST-1123,2024-03-18,Startup (Monthly),5000,1,81.5,20,1
CUST-1124,2023-01-13,Startup (Monthly),5000,1,65.6,35,1
CUST-1125,2025-11-12,Startup (Monthly),5000,2,98.9,1,0
CUST-1126,2024-03-30,Startup (Monthly),5000,1,77.4,3,1
CUST-1127,2024-07-18,Startup (Monthly),5000,2,29.9,1,1
CUST-1128,2025-10-25,Enterprise (Annual),25000,4,83.4,2,0
CUST-1129,2023-08-22,Startup (Monthly),5000,3,51.6,14,1
CUST-1130,2024-06-11,Startup (Monthly),5000,0,85.6,1,1
CUST-1131,2024-08-24,Enterprise (Annual),25000,1,56.5,16,0
CUST-1132,2025-11-19,Enterprise (Annual),25000,3,69.4,1,0
CUST-1133,2025-12-06,Startup (Monthly),5000,3,53.4,1,0
CUST-1134,2025-05-14,Startup (Monthly),5000,4,34.5,7,0
CUST-1135,2025-12-10,Enterprise (Annual),25000,2,60.8,1,0
CUST-1136,2025-10-12,Enterprise (Annual),25000,5,39.0,2,0
CUST-1137,2025-01-11,Startup (Monthly),5000,5,68.2,1,1
CUST-1138,2023-06-10,Startup (Monthly),5000,1,52.5,11,1
CUST-1139,2025-05-27,Startup (Monthly),5000,2,52.0,7,0
CUST-1140,2024-12-22,Startup (Monthly),5000,4,54.6,8,1
CUST-1141,2024-03-19,Startup (Monthly),5000,0,52.5,7,1
CUST-1142,2025-12-13,Enterprise (Annual),25000,2,94.9,1,0
CUST-1143,2024-06-17,Startup (Monthly),5000,2,61.6,14,1
CUST-1144,2023-02-12,Startup (Monthly),5000,3,48.9,7,1
CUST-1145,2025-06-22,Enterprise (Annual),25000,1,43.0,6,0
CUST-1146,2024-08-11,Startup (Monthly),5000,2,74.6,14,1
CUST-1147,2025-05-23,Startup (Monthly),5000,2,46.9,7,0
CUST-1148,2023-09-24,Enterprise (Annual),25000,1,51.1,27,0
CUST-1149,2025-09-08,Startup (Monthly),5000,6,39.0,2,1
CUST-1150,2024-10-08,Enterprise (Annual),25000,2,93.7,15,0
CUST-1151,2025-06-13,Enterprise (Annual),25000,1,26.0,6,1
CUST-1152,2024-07-02,Enterprise (Annual),25000,1,50.4,18,0
CUST-1153,2025-11-24,Startup (Monthly),5000,1,51.8,1,0
CUST-1154,2025-10-03,Startup (Monthly),5000,2,76.3,3,0
CUST-1155,2025-03-14,Enterprise (Annual),25000,2,59.1,9,0
CUST-1156,2023-04-04,Enterprise (Annual),25000,0,34.9,33,0
CUST-1157,2024-11-19,Startup (Monthly),5000,1,74.9,1,1
CUST-1158,2025-05-21,Startup (Monthly),5000,1,53.0,7,1
CUST-1159,2023-11-19,Startup (Monthly),5000,1,79.4,25,0
CUST-1160,2024-06-27,Startup (Monthly),5000,2,92.0,18,0
CUST-1161,2025-07-01,Startup (Monthly),5000,1,69.2,6,0
CUST-1162,2023-09-18,Startup (Monthly),5000,0,82.6,22,1
CUST-1163,2024-01-29,Startup (Monthly),5000,1,48.0,13,1
CUST-1164,2025-11-01,Startup (Monthly),5000,0,21.2,2,0
CUST-1165,2023-08-28,Startup (Monthly),5000,3,25.5,1,1
CUST-1166,2024-06-01,Enterprise (Annual),25000,2,28.9,1,1
CUST-1167,2024-03-16,Startup (Monthly),5000,2,78.6,17,1
CUST-1168,2025-07-24,Startup (Monthly),5000,0,16.3,2,1
CUST-1169,2024-11-18,Enterprise (Annual),25000,3,67.8,13,0
CUST-1170,2025-08-20,Startup (Monthly),5000,5,64.5,4,0
CUST-1171,2023-06-10,Startup (Monthly),5000,1,91.2,17,1
CUST-1172,2023-11-26,Startup (Monthly),5000,0,66.4,8,1
CUST-1173,2023-12-09,Startup (Monthly),5000,2,55.2,15,1
CUST-1174,2025-10-24,Startup (Monthly),5000,1,80.7,2,0
CUST-1175,2023-10-09,Startup (Monthly),5000,3,76.9,7,1
CUST-1176,2025-11-17,Startup (Monthly),5000,4,43.7,1,0
CUST-1177,2025-08-15,Enterprise (Annual),25000,1,50.8,2,1
CUST-1178,2024-05-13,Startup (Monthly),5000,2,49.5,11,1
CUST-1179,2025-08-26,Startup (Monthly),5000,0,30.8,4,0
CUST-1180,2025-12-09,Startup (Monthly),5000,2,64.8,1,0
CUST-1181,2024-06-14,Enterprise (Annual),25000,0,39.1,4,1
CUST-1182,2024-11-26,Enterprise (Annual),25000,1,77.6,2,1
CUST-1183,2025-06-20,Startup (Monthly),5000,3,41.7,6,0
CUST-1184,2024-04-18,Startup (Monthly),5000,6,67.3,1,1
CUST-1185,2024-11-22,Enterprise (Annual),25000,4,64.8,13,0
CUST-1186,2024-05-01,Enterprise (Annual),25000,0,60.3,20,0
CUST-1187,2024-03-20,Startup (Monthly),5000,3,33.5,18,1
CUST-1188,2023-02-19,Startup (Monthly),5000,3,58.8,14,1
CUST-1189,2025-11-30,Enterprise (Annual),25000,3,63.4,1,0
CUST-1190,2025-05-11,Startup (Monthly),5000,2,25.7,7,0
CUST-1191,2023-07-03,Enterprise (Annual),25000,2,47.3,17,1
CUST-1192,2025-05-27,Enterprise (Annual),25000,3,95.5,7,0
CUST-1193,2025-03-03,Startup (Monthly),5000,2,63.8,10,0
CUST-1194,2025-10-25,Enterprise (Annual),25000,2,37.0,2,0
CUST-1195,2023-09-10,Startup (Monthly),5000,2,69.9,5,1
CUST-1196,2023-05-06,Enterprise (Annual),25000,1,58.1,16,1
CUST-1197,2025-05-07,Startup (Monthly),5000,0,42.1,7,0
CUST-1198,2025-04-10,Startup (Monthly),5000,2,58.1,8,0
CUST-1199,2024-10-21,Enterprise (Annual),25000,1,36.2,14,0
CUST-1200,2025-07-07,Startup (Monthly),5000,2,65.4,5,0
CUST-1201,2024-12-06,Startup (Monthly),5000,3,100.0,7,1
CUST-1202,2023-11-21,Enterprise (Annual),25000,1,60.1,25,0
CUST-1203,2023-07-09,Startup (Monthly),5000,0,66.8,13,1
CUST-1204,2023-09-14,Enterprise (Annual),25000,1,100.0,14,1
CUST-1205,2023-06-07,Enterprise (Annual),25000,4,65.6,24,1
CUST-1206,2024-07-30,Enterprise (Annual),25000,2,78.4,17,0
CUST-1207,2025-05-24,Startup (Monthly),5000,1,48.8,7,0
CUST-1208,2024-10-20,Startup (Monthly),5000,3,53.7,14,0
CUST-1209,2023-01-19,Startup (Monthly),5000,1,72.9,17,1
CUST-1210,2024-01-08,Enterprise (Annual),25000,4,78.4,8,1
CUST-1211,2023-07-09,Startup (Monthly),5000,1,87.5,30,0
CUST-1212,2025-08-21,Startup (Monthly),5000,6,26.5,2,1
CUST-1213,2024-09-15,Startup (Monthly),5000,4,65.1,15,0
CUST-1214,2024-05-12,Startup (Monthly),5000,2,75.2,6,1
CUST-1215,2024-06-28,Startup (Monthly),5000,4,71.3,1,1
CUST-1216,2025-06-24,Startup (Monthly),5000,1,48.7,5,1
CUST-1217,2025-02-21,Startup (Monthly),5000,2,21.1,3,1
CUST-1218,2023-01-15,Startup (Monthly),5000,1,89.8,36,0
CUST-1219,2023-08-03,Startup (Monthly),5000,1,98.2,27,1
CUST-1220,2024-05-16,Startup (Monthly),5000,2,71.1,19,0
CUST-1221,2023-02-10,Startup (Monthly),5000,2,64.6,6,1
CUST-1222,2025-11-05,Enterprise (Annual),25000,1,13.4,1,0
CUST-1223,2023-08-15,Startup (Monthly),5000,2,25.2,3,1
CUST-1224,2023-02-06,Startup (Monthly),5000,3,57.0,5,1
CUST-1225,2024-02-21,Enterprise (Annual),25000,3,53.0,21,1
CUST-1226,2023-09-24,Startup (Monthly),5000,0,64.4,25,1
CUST-1227,2024-04-25,Startup (Monthly),5000,3,52.5,1,1
CUST-1228,2024-04-06,Startup (Monthly),5000,3,39.0,2,1
CUST-1229,2025-10-08,Enterprise (Annual),25000,1,43.4,2,0
CUST-1230,2025-03-10,Enterprise (Annual),25000,4,77.7,9,0
CUST-1231,2023-03-01,Startup (Monthly),5000,1,45.6,2,1
CUST-1232,2024-12-21,Startup (Monthly),5000,1,23.4,4,1
CUST-1233,2024-03-03,Startup (Monthly),5000,6,32.7,8,1
CUST-1234,2025-02-25,Startup (Monthly),5000,3,65.6,8,1
CUST-1235,2025-08-23,Enterprise (Annual),25000,2,42.4,4,0
CUST-1236,2025-12-08,Startup (Monthly),5000,2,51.9,1,0
CUST-1237,2024-08-11,Startup (Monthly),5000,2,67.4,8,1
CUST-1238,2025-06-07,Enterprise (Annual),25000,0,80.5,6,0
CUST-1239,2023-12-15,Enterprise (Annual),25000,3,37.9,1,1
CUST-1240,2024-06-04,Enterprise (Annual),25000,2,77.5,19,0
CUST-1241,2025-03-19,Startup (Monthly),5000,2,51.4,6,1
CUST-1242,2023-09-13,Startup (Monthly),5000,1,70.2,21,1
CUST-1243,2024-11-21,Startup (Monthly),5000,1,96.0,13,0
CUST-1244,2024-02-11,Startup (Monthly),5000,0,84.0,6,1
CUST-1245,2024-09-20,Startup (Monthly),5000,1,83.8,12,1
CUST-1246,2025-03-15,Startup (Monthly),5000,0,40.2,9,0
CUST-1247,2023-03-15,Startup (Monthly),5000,2,73.2,10,1
CUST-1248,2023-07-18,Startup (Monthly),5000,0,50.3,29,0
CUST-1249,2023-03-11,Startup (Monthly),5000,0,59.1,1,1
CUST-1250,2024-08-23,Startup (Monthly),5000,0,74.0,3,1
CUST-1251,2024-04-09,Startup (Monthly),5000,2,77.4,6,1
CUST-1252,2023-03-25,Startup (Monthly),5000,1,16.8,1,1
CUST-1253,2025-03-16,Enterprise (Annual),25000,1,71.0,9,0
CUST-1254,2023-12-06,Enterprise (Annual),25000,3,56.1,6,1
CUST-1255,2023-03-01,Startup (Monthly),5000,1,79.9,7,1
CUST-1256,2024-06-18,Startup (Monthly),5000,4,70.4,13,1
CUST-1257,2023-01-05,Startup (Monthly),5000,3,66.8,3,1
CUST-1258,2024-03-29,Enterprise (Annual),25000,1,49.2,21,0
CUST-1259,2023-02-26,Startup (Monthly),5000,1,32.4,5,1
CUST-1260,2024-04-30,Enterprise (Annual),25000,2,28.7,4,1
CUST-1261,2023-09-25,Startup (Monthly),5000,3,84.8,8,1
CUST-1262,2023-11-07,Startup (Monthly),5000,1,98.2,23,1
CUST-1263,2023-04-11,Startup (Monthly),5000,1,71.6,8,1
CUST-1264,2025-04-13,Enterprise (Annual),25000,1,70.3,8,0
CUST-1265,2023-09-22,Startup (Monthly),5000,4,54.3,3,1
CUST-1266,2025-11-16,Startup (Monthly),5000,1,77.0,1,0
CUST-1267,2024-11-09,Enterprise (Annual),25000,2,32.4,13,0
CUST-1268,2025-03-22,Startup (Monthly),5000,0,59.7,9,0
CUST-1269,2023-11-21,Enterprise (Annual),25000,1,80.6,25,0
CUST-1270,2024-07-22,Startup (Monthly),5000,4,77.6,6,1
CUST-1271,2025-09-18,Startup (Monthly),5000,2,48.3,3,0
CUST-1272,2023-12-28,Startup (Monthly),5000,2,70.2,3,1
CUST-1273,2024-01-06,Startup (Monthly),5000,2,34.5,5,1
CUST-1274,2023-02-10,Enterprise (Annual),25000,2,19.4,11,1
CUST-1275,2024-09-08,Enterprise (Annual),25000,1,24.8,1,1
CUST-1276,2024-08-04,Enterprise (Annual),25000,4,60.7,17,0
CUST-1277,2023-07-02,Enterprise (Annual),25000,2,79.2,30,0
CUST-1278,2023-11-17,Startup (Monthly),5000,2,71.9,25,0
CUST-1279,2024-06-26,Startup (Monthly),5000,0,56.1,16,1
CUST-1280,2023-06-13,Startup (Monthly),5000,1,77.4,13,1
CUST-1281,2025-10-06,Enterprise (Annual),25000,1,61.0,2,0
CUST-1282,2024-04-26,Startup (Monthly),5000,2,67.6,6,1
CUST-1283,2024-07-22,Startup (Monthly),5000,3,42.4,17,0
CUST-1284,2024-05-19,Startup (Monthly),5000,2,100.0,19,0
CUST-1285,2024-04-02,Startup (Monthly),5000,2,46.4,7,1
CUST-1286,2023-06-02,Enterprise (Annual),25000,1,60.7,31,0
CUST-1287,2025-05-03,Enterprise (Annual),25000,4,52.9,8,1
CUST-1288,2024-01-14,Enterprise (Annual),25000,3,63.2,23,0
CUST-1289,2023-05-12,Startup (Monthly),5000,1,62.9,8,1
CUST-1290,2024-07-03,Startup (Monthly),5000,3,67.8,2,1
CUST-1291,2023-04-27,Startup (Monthly),5000,4,5.6,1,1
CUST-1292,2024-05-09,Startup (Monthly),5000,1,86.1,5,1
CUST-1293,2024-07-05,Startup (Monthly),5000,2,20.2,2,1
CUST-1294,2025-11-17,Startup (Monthly),5000,0,37.3,1,0
CUST-1295,2025-09-22,Enterprise (Annual),25000,4,77.7,2,1
CUST-1296,2025-12-04,Enterprise (Annual),25000,4,62.5,1,0
CUST-1297,2023-10-19,Startup (Monthly),5000,0,71.9,8,1
CUST-1298,2024-12-12,Enterprise (Annual),25000,4,50.4,12,0
CUST-1299,2024-06-17,Startup (Monthly),5000,1,49.9,2,1
CUST-1300,2023-04-06,Startup (Monthly),5000,3,57.7,5,1
CUST-1301,2024-11-05,Startup (Monthly),5000,2,81.3,14,0
CUST-1302,2025-03-15,Startup (Monthly),5000,1,41.7,6,1
CUST-1303,2024-11-27,Startup (Monthly),5000,1,86.5,13,0
CUST-1304,2023-03-14,Startup (Monthly),5000,3,73.4,21,1
CUST-1305,2024-10-29,Startup (Monthly),5000,3,66.4,14,0
CUST-1306,2024-07-17,Startup (Monthly),5000,1,37.5,1,1
CUST-1307,2025-09-27,Enterprise (Annual),25000,1,78.5,3,0
CUST-1308,2024-08-24,Startup (Monthly),5000,0,73.5,14,1
CUST-1309,2023-10-02,Startup (Monthly),5000,0,41.6,2,1
CUST-1310,2025-11-16,Startup (Monthly),5000,2,71.5,1,0
CUST-1311,2025-11-08,Enterprise (Annual),25000,1,75.1,1,0
CUST-1312,2025-08-21,Startup (Monthly),5000,2,75.6,4,0
CUST-1313,2025-07-02,Startup (Monthly),5000,4,34.1,4,1
CUST-1314,2024-10-25,Startup (Monthly),5000,3,36.4,5,1
CUST-1315,2024-02-17,Startup (Monthly),5000,2,64.3,22,0
CUST-1316,2023-10-02,Startup (Monthly),5000,4,90.0,3,1
CUST-1317,2024-02-18,Startup (Monthly),5000,4,49.3,11,1
CUST-1318,2023-07-24,Enterprise (Annual),25000,2,49.7,23,1
CUST-1319,2023-12-21,Startup (Monthly),5000,0,39.4,3,1
CUST-1320,2025-11-29,Startup (Monthly),5000,2,51.8,1,0
CUST-1321,2025-06-01,Startup (Monthly),5000,4,52.2,7,0
CUST-1322,2024-07-11,Startup (Monthly),5000,2,84.6,5,1
CUST-1323,2025-08-09,Startup (Monthly),5000,2,70.1,1,1
CUST-1324,2025-08-11,Startup (Monthly),5000,4,47.4,4,0
CUST-1325,2025-06-01,Enterprise (Annual),25000,4,13.5,2,1
CUST-1326,2023-06-10,Enterprise (Annual),25000,1,74.6,31,0
CUST-1327,2023-12-05,Startup (Monthly),5000,2,47.7,5,1
CUST-1328,2023-03-08,Startup (Monthly),5000,2,62.9,25,1
CUST-1329,2024-05-30,Startup (Monthly),5000,3,23.8,6,1
CUST-1330,2024-04-15,Enterprise (Annual),25000,2,50.4,20,0
CUST-1331,2023-05-10,Enterprise (Annual),25000,2,73.1,32,0
CUST-1332,2023-01-22,Enterprise (Annual),25000,3,99.3,28,1
CUST-1333,2025-02-11,Startup (Monthly),5000,0,87.4,10,0
CUST-1334,2024-06-29,Enterprise (Annual),25000,2,16.1,5,1
CUST-1335,2023-11-10,Startup (Monthly),5000,4,75.5,13,1
CUST-1336,2024-08-30,Startup (Monthly),5000,0,77.9,2,1
CUST-1337,2023-07-01,Enterprise (Annual),25000,3,17.7,3,1
CUST-1338,2023-06-06,Enterprise (Annual),25000,4,64.2,4,1
CUST-1339,2025-05-02,Startup (Monthly),5000,1,15.5,3,1
CUST-1340,2025-02-18,Startup (Monthly),5000,1,89.6,4,1
CUST-1341,2023-02-22,Startup (Monthly),5000,3,69.3,21,1
CUST-1342,2025-12-02,Startup (Monthly),5000,3,51.5,1,0
CUST-1343,2023-11-01,Startup (Monthly),5000,1,70.6,12,1
CUST-1344,2024-06-23,Startup (Monthly),5000,0,47.3,11,1
CUST-1345,2025-12-10,Enterprise (Annual),25000,2,78.0,1,0
CUST-1346,2025-09-01,Enterprise (Annual),25000,3,46.8,4,0
CUST-1347,2023-12-21,Startup (Monthly),5000,4,52.8,3,1
CUST-1348,2023-05-19,Startup (Monthly),5000,1,91.1,18,1
CUST-1349,2025-07-18,Startup (Monthly),5000,2,35.5,2,1
CUST-1350,2025-06-13,Startup (Monthly),5000,1,41.0,6,0
CUST-1351,2024-12-14,Startup (Monthly),5000,2,42.3,12,1
CUST-1352,2024-04-08,Startup (Monthly),5000,4,11.7,1,1
CUST-1353,2024-06-24,Startup (Monthly),5000,2,81.5,8,1
CUST-1354,2025-12-17,Startup (Monthly),5000,4,54.0,1,0
CUST-1355,2024-08-08,Startup (Monthly),5000,2,43.8,17,0
CUST-1356,2024-02-22,Startup (Monthly),5000,3,81.1,9,1
CUST-1357,2024-01-30,Startup (Monthly),5000,4,71.0,23,0
CUST-1358,2024-10-17,Startup (Monthly),5000,3,15.1,6,1
CUST-1359,2024-08-19,Startup (Monthly),5000,3,73.3,16,0
CUST-1360,2025-02-09,Startup (Monthly),5000,0,85.7,1,1
CUST-1361,2025-06-01,Enterprise (Annual),25000,2,91.3,7,0
CUST-1362,2025-07-06,Startup (Monthly),5000,4,70.3,5,0
CUST-1363,2023-03-18,Startup (Monthly),5000,1,79.4,30,1
CUST-1364,2024-04-25,Enterprise (Annual),25000,3,52.6,6,1
CUST-1365,2023-11-29,Startup (Monthly),5000,1,28.5,5,1
CUST-1366,2023-03-17,Startup (Monthly),5000,1,69.5,23,1
CUST-1367,2023-12-07,Startup (Monthly),5000,3,89.8,25,0
CUST-1368,2024-11-30,Startup (Monthly),5000,3,55.0,13,0
CUST-1369,2023-12-03,Startup (Monthly),5000,0,88.7,3,1
CUST-1370,2023-03-15,Startup (Monthly),5000,3,52.0,12,1
CUST-1371,2023-08-08,Enterprise (Annual),25000,0,27.1,7,1
CUST-1372,2023-02-13,Startup (Monthly),5000,6,37.4,2,1
CUST-1373,2025-09-03,Enterprise (Annual),25000,4,38.2,4,0
CUST-1374,2025-01-20,Startup (Monthly),5000,2,60.6,6,1
CUST-1375,2023-03-12,Startup (Monthly),5000,4,53.1,8,1
CUST-1376,2025-01-25,Startup (Monthly),5000,3,60.4,1,1
CUST-1377,2025-10-10,Enterprise (Annual),25000,3,41.8,2,0
CUST-1378,2024-03-18,Startup (Monthly),5000,1,43.4,21,0
CUST-1379,2025-01-24,Enterprise (Annual),25000,3,5.6,3,1
CUST-1380,2025-02-16,Enterprise (Annual),25000,4,70.3,10,0
CUST-1381,2023-04-03,Startup (Monthly),5000,3,36.1,8,1
